"sl.
no",state/u.t. (code),region_code,description,sl. no.,name of district,district_code,,
,(21),211,,411.,Bhadrak,(09),,
,,211,,412.,Kendrapara,(10),,
,,211,,413.,Jagatsinghapur,(11),,
,,211,,414.,Cuttack,(12),,
,,211,,415.,Jajapur,(13),,
,,211,,416.,Nayagarh,(16),,
,,211,,417.,Khordha,(17),,
,,211,,418.,Puri,(18),,
60,,212,Southern,419.,Ganjam,(19),,
,,212,,420.,Gajapati,(20),,
,,212,,421.,Kandhamal,(21),,
,,212,,422.,Baudh,(22),,
,,212,,423.,Subarnapur,(23),,
,,212,,424.,Balangir,(24),,
,,212,,425.,Nuapada,(25),,
,,212,,426.,Kalahandi,(26),,
,,212,,427.,Rayagada,(27),,
,,212,,428.,Nabarangapur,(28),,
,,212,,429.,Koraput,(29),,
,,212,,430.,Malkangiri,(30),,
61,,213,Northern,431.,Bargarh,(01),,
,,213,,432.,Jharsuguda,(02),,
,,213,,433.,Sambalpur,(03),,
,,213,,434,Debagarh,(04),,
,,213,,435,Sundargarh,(05),,
,,213,,436,Kendujhar,(06),,
,,213,,437,Mayurbhanj,(07),,
,,213,,438,Dhenkanal,(14),,
,,213,,439,Anugul,(15),,
62,Puducherry,341,Puducherry,440,Yanam,(01),,
,(34),341,,441,Puducherry,(02),,
,,341,,442,Mahe,(03),,
,,341,,443,Karaikal,(04),,
63,Punjab,31,Northern,444,Gurdaspur,(01),,
,(03),31,,445,Kapurthala,(02),,
,,31,,446,Jalandhar,(03),,
,,31,,447,Hoshiarpur,(04),,
,,31,,448,Shahid Bhagat Singh Nagar,(05),,
,,31,,449,Amritsar,(15),,
,,31,,450,Tarn Taran,(16),,
,,31,,451,Rupnagar,(17),,
,,31,,452,Sahibzada Ajit Singh Nagar,(18),,
,,31,,453,Pathankot,(21),,
64,,32,Southern,454,Fatehgarh Sahib,(06),,
,,32,,455,Ludhiana,(07),,
,,32,,456,Moga,(08),,
,,32,,457,Firozpur,(09),,
,,32,,458,Muktsar,(10),,
,,32,,459,Faridkot,(11),,
,,32,,460,Bhatinda,(12),,
,,32,,461,Mansa,(13),,
,,32,,462,Patiala,(14),,
,,32,,463,Sangrur,(19),,
,,32,,464,Barnala,(20),,
,,32,,465,Fazilka,(22),,
65,Rajasthan,81,Western,466,Bikaner,(03),,
,(08),81,,467,Jodhpur,(15),,
,,81,,468,Jaisalmer,(16),,
,,81,,469,Barmer,(17),,
,,81,,470,Jalor,(18),,
,,81,,471,Sirohi,(19),,
,,81,,472,Pali,(20),,
66,,82,North-,473,Alwar,(06),,
,,82,Eastern,474,Bharatpur,(07),,
,,82,,475,Dhaulpur,(08),,
,,82,,476,Karauli,(09),,
,,82,,477,Sawai Madhopur,(10),,
,,82,,478,Dausa,(11),,
,,82,,479,Jaipur,(12),,
,,82,,480,Ajmer,(21),,
,,82,,481,Tonk,(22),,
,,82,,482,Bhilwara,(24),,
67,,83,Southern,"483.
484.
485.",Rajsamand,(25),,
,,83,,,Dungarpur,(26),,
,,83,,,Banswara,(27),,
,,83,,486.,Udaipur,(32),,
68,,84,South-Eastern,"487.
488.
489.",Bundi,(23),,
,,84,,,Chittaurgarh,(28),,
,,84,,,Kota,(29),,
,,84,,490.,Baran,(30),,
,,84,,491.,Jhalawar,(31),,
,,84,,492.,Pratapgarh,(33),,
69,,85,Northern,493.,Sri Ganganagar,(01),,
,,85,,494.,Hanumangarh,(02),,
,,85,,495.,Churu,(04),,
,,85,,496.,Jhunjhunun,(05),,
,,85,,497.,Sikar,(13),,
,,85,,498.,Nagaur,(14),,
70,"Sikkim
(11)",111,Sikkim,"499.
500.
501.
502.",North District,(01),,
,,111,,,West District,(02),,
,,111,,,South District,(03),,
,,111,,,East District,(04),,
71,"Tamil Nadu
(33)",331,"Coastal
Northern","503.
504.
505.
506.
507.",Thiruvallur,(01),,
,,331,,,Chennai,(02),,
,,331,,,Kancheepuram,(03),,
,,331,,,Vellore,(04),,
,,331,,,Tiruvannamalai,(05),,
,,331,,508.,Viluppuram,(06),,
,,331,,509.,Cuddalore,(16),,
72,,332,Coastal,510.,Karur,(12),,
,,332,,511.,Tiruchirappalli,(13),,
,,332,,512.,Perambalur,(14),,
,,332,,513.,Ariyalur,(15),,
,,332,,514.,Nagapattinam,(17),,
,,332,,515.,Thiruvarur,(18),,
,,332,,516.,Thanjavur,(19),,
